,d,error_A_m,error_A_m_1,error_V_m,error_V_m_1,m,m_1,m_x,max_dist_A_m,max_dist_A_m_1,max_dist_V_m,max_dist_V_m_1,min_dist_A_m,min_dist_A_m_1,min_dist_V_m,min_dist_V_m_1
26,36,0.011722663415482944,0.6063501288654941,1.322308918435534,1.028050590226894,16,4,10000,0.9869753995663235,0.38611234715972576,0.8729288120895446,0.8729288120895446,0.0066629877129610006,0.0043250605399478455,0.661745907276783,0.661745907276783
27,8,0.016709757001318094,0.19987680170277272,1.1152472977538133,1.0689578616421693,8,8,10000,0.9948447941636878,0.4461896735238347,0.9500939842105505,0.9500939842105505,0.016675216263961054,0.0148646860983823,0.5818516104928133,0.5818516104928133
28,18,0.029739817796984033,0.21133754438902197,1.2174346980345208,1.119368724504527,8,8,10000,0.9965384251295848,0.16926331308553855,0.9083225285495439,0.9083225285495439,0.029698837546856646,0.026852000068573006,0.5355294373161603,0.5355294373161603
29,28,0.010398963512903073,0.21180841805917255,1.1046476475597569,1.0258105266800979,8,8,10000,0.984287468529513,0.25347387314936426,0.8787713244087665,0.8787713244087665,0.01038617416098764,0.00716603825966986,0.5509555576337825,0.5509555576337825
30,16,0.02083953486167678,0.019696828996154925,1.2673377143396967,1.2675679021151434,16,8,10000,0.8389595980139918,0.18857190769972884,0.8839375043972264,0.8839375043972264,0.020820105612020603,0.019669557385064932,0.7320716702352641,0.7320716702352641
31,26,0.021879691886470508,0.09360293960760756,1.2562104046123042,1.2461846387014641,16,8,10000,0.978694029643063,0.32901302704715923,0.9544648063168186,0.9544648063168186,0.021085019505971317,0.018500152561959377,0.7035747407311872,0.7035747407311872
32,36,0.04099541611837602,0.06903253823824158,1.1735941244606014,1.2028563603337379,16,8,10000,0.9940993307046956,0.4831947964177278,0.9024788638001554,0.9024788638001554,0.019271711153917247,0.01759473937845947,0.6807861134605427,0.6807861134605427
33,32,0.02697812548548204,0.04886217084775455,1.289458841010052,1.2802946107684932,32,8,10000,0.9963632633984966,0.450387572527083,0.9465525978607192,0.9465525978607192,0.026921269897785188,0.021577180040605992,0.7725719863324316,0.7725719863324316
34,42,0.019497262753480748,0.015225741822232379,1.329714239477682,1.3315373682152047,32,8,10000,0.9790402020575475,0.6549772846222758,0.8235090648883842,0.8235090648883842,0.019456472624869856,0.01513234270268801,0.4831484603846059,0.4831484603846059
35,52,0.027011695078176,0.021457609191066818,1.3007044779199066,1.3051563985678052,32,8,10000,0.9984383653248697,0.7653188691143409,0.8620108276871413,0.8620108276871413,0.022433119172786287,0.018278766467587745,0.6567490697050983,0.6567490697050983
36,16,0.01708197851828291,0.15685754452667758,1.2545440276812827,1.2721097761781182,16,16,10000,0.9832127865135216,0.33302406924938743,0.9498523657929108,0.9498523657929108,0.017079931251643005,0.014850228801089983,0.6804729319503644,0.6804729319503644
37,26,0.023899418869090475,0.14903321179343013,1.217353065637839,1.1962089102802316,16,16,10000,0.9994608498544008,0.2936310960007138,0.9456313767146657,0.9456313767146657,0.023078129385603136,0.02067191605841391,0.7767901174471291,0.7767901174471291
38,36,0.018631054230533406,0.21128491664110208,1.2811082035372947,1.2194026099576314,16,16,10000,0.8141403438041329,0.20562998962535123,0.9364446021353388,0.9364446021353388,0.018618491197114055,0.017264528924990127,0.7975698214132282,0.7975698214132282
39,32,0.030011138736151098,0.02555963224512325,1.328666616923299,1.330125264233732,32,16,10000,0.9961658561651009,0.9302622318282073,0.9073225901186203,0.9073225901186203,0.02022296485806566,0.019129607393456476,0.7242477046496655,0.7242477046496655
40,42,0.021269987545001468,0.019547324219426933,1.30723685689207,1.3085045237133672,32,16,10000,0.991079690940857,0.4107541970393255,0.9421252248354386,0.9421252248354386,0.016979357890983572,0.01628816118137988,0.7893934990621511,0.7893934990621511
41,52,0.018483030752059065,0.0175281353653159,1.2447683042833426,1.24564816276228,32,16,10000,0.9601987676708966,0.6287274135480594,0.9332935149192181,0.9332935149192181,0.01845488624563335,0.01742577352435894,0.7648301072120421,0.7648301072120421
42,64,0.015772309085523635,0.20123600726841748,1.3478455658706427,1.2760262651275984,64,16,10000,0.9988835566104781,0.7289973849956514,0.8708620640331362,0.8708620640331362,0.01525346788047965,0.014279567270540723,0.6844851783467598,0.6844851783467598
43,74,0.02378382676159508,0.022700110726680555,1.370102964517098,1.3711936478637767,64,16,10000,0.9685496672176084,0.6190073402787643,0.9317268243745885,0.9317268243745885,0.021506558870341273,0.02014865615534207,0.8451542018302681,0.8451542018302681
44,84,0.019382873982097964,0.01998249022181655,1.3268244167117398,1.3574617683402646,64,16,10000,0.9979080985120288,0.7079081462639475,0.8946717790564416,0.8946717790564416,0.01914100014237244,0.0184345441301922,0.7794429391935698,0.7794429391935698
